# DCSoakDump v1 | 2026-05-15T03:10:40 | mode=SUMMARY | seed=0 | n_cells=<unknown>
tick	day	phase	phase_kind	field	min	max	mean	std
1	51	1.6693	climate	cell.temp	0.000000	0.950462	0.406619	0.270501
1	51	1.6693	climate	cell.temp_baseline	0.000000	0.962319	0.397713	0.300564
1	51	1.6693	climate	cell.temp_30d	0.000000	0.988368	0.409927	0.277271
1	51	1.6693	climate	cell.temp_365d	0.000000	0.988368	0.409927	0.277271
1	51	1.6693	climate	cell.temp_anomaly	0.000000	0.000000	0.000000	0.000000
1	51	1.6693	climate	cell.moisture	0.197823	1.000000	0.589440	0.195571
1	51	1.6693	climate	cell.snow_cover	0.000000	0.850000	0.017417	0.109010
1	51	1.6693	climate	cell.sea_ice_frac	0.000000	1.000000	0.048400	0.172183
1	51	1.6693	climate	cell.weather_intensity	0.000000	1.000000	0.087697	0.221096
1	51	1.6693	climate	cell.weather_cloud	0.000000	0.968093	0.327364	0.178399
1	51	1.6693	climate	cell.weather_precip	0.000000	1.000000	0.235627	0.181276
1	51	1.6693	climate	cell.elevation	0.000000	0.910126	0.403302	0.230933
1	51	1.6693	climate	cell.base_moisture	0.197823	1.000000	0.602835	0.192195
1	51	1.6693	climate	cell.ocean_current_x	-1.000000	0.868328	0.013758	0.265456
1	51	1.6693	climate	cell.ocean_current_y	-1.000000	0.734991	0.004608	0.132000
1	51	1.6693	climate	cell.wind_x	-1.000000	0.999996	-0.557468	0.469981
1	51	1.6693	climate	cell.wind_y	-0.999522	1.000000	0.486155	0.481664
1	51	1.6693	climate	cell.slp	-0.463589	1.058657	0.030638	0.356224
1	51	1.6693	climate	cell.wind_speed	0.167134	0.650000	0.555795	0.139134
1	51	1.6693	climate	cell.upwelling_strength	-0.889996	0.000000	-0.292849	0.270721
1	51	1.6693	climate	cell.pos_x	0.000000	103.057022	51.528511	29.998958
1	51	1.6693	climate	cell.pos_y	0.000000	58.500000	29.250000	17.315095
1	51	1.6693	climate	cell.lat_norm	0.000000	1.000000	0.500000	0.295985
1	51	1.6693	climate	cell.temp_baseline_year	0.000000	0.999027	0.585557	0.332821
1	51	1.6693	climate	cell.terrain	0	25	4.855833	6.420090
1	51	1.6693	climate	cell.landform	0	10	2.799583	2.641070
1	51	1.6693	climate	cell.vegetation	0	23	3.764583	6.394854
1	51	1.6693	climate	cell.base_terrain	0	25	4.855833	6.420090
1	51	1.6693	climate	cell.base_landform	0	12	2.816250	2.682968
1	51	1.6693	climate	cell.base_vegetation	0	23	3.797917	6.437293
1	51	1.6693	climate	cell.cover	0	5	0.389167	1.139173
1	51	1.6693	climate	cell.weather_type	0	7	0.550833	1.488539
1	51	1.6693	climate	cell.is_water	0	1	0.769583	0.421100
1	51	1.6693	climate	cell.climate_dirty_mask	0	0	0.000000	0.000000
1	51	1.6693	climate	cell.weather_dirty_mask	0	0	0.000000	0.000000
1	51	1.6693	climate	cell.weather_vapor	0.262278	1.000000	0.689367	0.127511
1	51	1.6693	climate	cell.weather_convergence	0.000000	0.901404	0.318855	0.122910
1	51	1.6693	climate	cell.weather_instability	0.000000	1.000000	0.573193	0.300328
1	51	1.6693	climate	cell.weather_field_init	1	1	1.000000	0.000000
1	51	1.6693	climate	cell.air_mass_temp_anomaly	-0.051495	0.105000	0.002000	0.026712
1	51	1.6693	climate	cell.has_river	0	1	0.064167	0.245050
1	51	1.6693	climate	cell.ema_initialized	1	1	1.000000	0.000000
1	51	1.6693	climate	cell.temp_season_offset	-0.200000	0.300000	-0.014184	0.121938
1	51	1.6693	climate	world.sea_ice_fraction_buffer_hash	2498081940	2498081940	2498081940.000000	0
2	52	1.7378	climate	cell.temp	0.000000	0.950462	0.406501	0.270467
2	52	1.7378	climate	cell.temp_baseline	0.000000	0.962319	0.397713	0.300564
2	52	1.7378	climate	cell.temp_30d	0.000000	0.988368	0.409927	0.277271
2	52	1.7378	climate	cell.temp_365d	0.000000	0.988368	0.409927	0.277271
2	52	1.7378	climate	cell.temp_anomaly	0.000000	0.000000	0.000000	0.000000
2	52	1.7378	climate	cell.moisture	0.197823	1.000000	0.585720	0.194381
2	52	1.7378	climate	cell.snow_cover	0.000000	0.850000	0.017417	0.109010
2	52	1.7378	climate	cell.sea_ice_frac	0.000000	1.000000	0.049457	0.175899
2	52	1.7378	climate	cell.weather_intensity	0.000000	1.000000	0.087697	0.221096
2	52	1.7378	climate	cell.weather_cloud	0.000000	0.968093	0.327364	0.178399
2	52	1.7378	climate	cell.weather_precip	0.000000	1.000000	0.235627	0.181276
2	52	1.7378	climate	cell.elevation	0.000000	0.910126	0.403302	0.230933
2	52	1.7378	climate	cell.base_moisture	0.197823	1.000000	0.602835	0.192195
2	52	1.7378	climate	cell.ocean_current_x	-1.000000	0.868328	0.013758	0.265456
2	52	1.7378	climate	cell.ocean_current_y	-1.000000	0.734991	0.004608	0.132000
2	52	1.7378	climate	cell.wind_x	-1.000000	0.999996	-0.557468	0.469981
2	52	1.7378	climate	cell.wind_y	-0.999522	1.000000	0.486155	0.481664
2	52	1.7378	climate	cell.slp	-0.463589	1.058657	0.030638	0.356224
2	52	1.7378	climate	cell.wind_speed	0.167134	0.650000	0.555795	0.139134
2	52	1.7378	climate	cell.upwelling_strength	-0.889996	0.000000	-0.292849	0.270721
2	52	1.7378	climate	cell.pos_x	0.000000	103.057022	51.528511	29.998958
2	52	1.7378	climate	cell.pos_y	0.000000	58.500000	29.250000	17.315095
2	52	1.7378	climate	cell.lat_norm	0.000000	1.000000	0.500000	0.295985
2	52	1.7378	climate	cell.temp_baseline_year	0.000000	0.999027	0.585557	0.332821
2	52	1.7378	climate	cell.terrain	0	25	4.855833	6.420090
2	52	1.7378	climate	cell.landform	0	10	2.799583	2.641070
2	52	1.7378	climate	cell.vegetation	0	23	3.764583	6.394854
2	52	1.7378	climate	cell.base_terrain	0	25	4.855833	6.420090
2	52	1.7378	climate	cell.base_landform	0	12	2.816250	2.682968
2	52	1.7378	climate	cell.base_vegetation	0	23	3.797917	6.437293
2	52	1.7378	climate	cell.cover	0	5	0.389167	1.139173
2	52	1.7378	climate	cell.weather_type	0	7	0.550833	1.488539
2	52	1.7378	climate	cell.is_water	0	1	0.769583	0.421100
2	52	1.7378	climate	cell.climate_dirty_mask	0	0	0.000000	0.000000
2	52	1.7378	climate	cell.weather_dirty_mask	0	0	0.000000	0.000000
2	52	1.7378	climate	cell.weather_vapor	0.262278	1.000000	0.689367	0.127511
2	52	1.7378	climate	cell.weather_convergence	0.000000	0.901404	0.318855	0.122910
2	52	1.7378	climate	cell.weather_instability	0.000000	1.000000	0.573193	0.300328
2	52	1.7378	climate	cell.weather_field_init	1	1	1.000000	0.000000
2	52	1.7378	climate	cell.air_mass_temp_anomaly	-0.051495	0.105000	0.002000	0.026712
2	52	1.7378	climate	cell.has_river	0	1	0.064167	0.245050
2	52	1.7378	climate	cell.ema_initialized	1	1	1.000000	0.000000
2	52	1.7378	climate	cell.temp_season_offset	-0.200000	0.300000	-0.014184	0.121938
2	52	1.7378	climate	world.sea_ice_fraction_buffer_hash	2498081940	2498081940	2498081940.000000	0
3	53	1.8001	climate	cell.temp	0.000000	0.950462	0.406390	0.270435
3	53	1.8001	climate	cell.temp_baseline	0.000000	0.962319	0.397713	0.300564
3	53	1.8001	climate	cell.temp_30d	0.000000	0.988368	0.409927	0.277271
3	53	1.8001	climate	cell.temp_365d	0.000000	0.988368	0.409927	0.277271
3	53	1.8001	climate	cell.temp_anomaly	0.000000	0.000000	0.000000	0.000000
3	53	1.8001	climate	cell.moisture	0.197192	1.000000	0.583274	0.193195
3	53	1.8001	climate	cell.snow_cover	0.000000	0.850000	0.017417	0.109010
3	53	1.8001	climate	cell.sea_ice_frac	0.000000	1.000000	0.050510	0.179601
3	53	1.8001	climate	cell.weather_intensity	0.000000	1.000000	0.087697	0.221096
3	53	1.8001	climate	cell.weather_cloud	0.000000	0.968093	0.327364	0.178399
3	53	1.8001	climate	cell.weather_precip	0.000000	1.000000	0.235627	0.181276
3	53	1.8001	climate	cell.elevation	0.000000	0.910126	0.403302	0.230933
3	53	1.8001	climate	cell.base_moisture	0.197823	1.000000	0.602835	0.192195
3	53	1.8001	climate	cell.ocean_current_x	-1.000000	0.868328	0.013758	0.265456
3	53	1.8001	climate	cell.ocean_current_y	-1.000000	0.734991	0.004608	0.132000
3	53	1.8001	climate	cell.wind_x	-1.000000	0.999996	-0.557468	0.469981
3	53	1.8001	climate	cell.wind_y	-0.999522	1.000000	0.486155	0.481664
3	53	1.8001	climate	cell.slp	-0.463589	1.058657	0.030638	0.356224
3	53	1.8001	climate	cell.wind_speed	0.167134	0.650000	0.555795	0.139134
3	53	1.8001	climate	cell.upwelling_strength	-0.889996	0.000000	-0.292849	0.270721
3	53	1.8001	climate	cell.pos_x	0.000000	103.057022	51.528511	29.998958
3	53	1.8001	climate	cell.pos_y	0.000000	58.500000	29.250000	17.315095
3	53	1.8001	climate	cell.lat_norm	0.000000	1.000000	0.500000	0.295985
3	53	1.8001	climate	cell.temp_baseline_year	0.000000	0.999027	0.585557	0.332821
3	53	1.8001	climate	cell.terrain	0	25	4.855833	6.420090
3	53	1.8001	climate	cell.landform	0	10	2.799583	2.641070
3	53	1.8001	climate	cell.vegetation	0	23	3.764583	6.394854
3	53	1.8001	climate	cell.base_terrain	0	25	4.855833	6.420090
3	53	1.8001	climate	cell.base_landform	0	12	2.816250	2.682968
3	53	1.8001	climate	cell.base_vegetation	0	23	3.797917	6.437293
3	53	1.8001	climate	cell.cover	0	5	0.389167	1.139173
3	53	1.8001	climate	cell.weather_type	0	7	0.550833	1.488539
3	53	1.8001	climate	cell.is_water	0	1	0.769583	0.421100
3	53	1.8001	climate	cell.climate_dirty_mask	0	0	0.000000	0.000000
3	53	1.8001	climate	cell.weather_dirty_mask	0	0	0.000000	0.000000
3	53	1.8001	climate	cell.weather_vapor	0.262278	1.000000	0.689367	0.127511
3	53	1.8001	climate	cell.weather_convergence	0.000000	0.901404	0.318855	0.122910
3	53	1.8001	climate	cell.weather_instability	0.000000	1.000000	0.573193	0.300328
3	53	1.8001	climate	cell.weather_field_init	1	1	1.000000	0.000000
3	53	1.8001	climate	cell.air_mass_temp_anomaly	-0.051495	0.105000	0.002000	0.026712
3	53	1.8001	climate	cell.has_river	0	1	0.064167	0.245050
3	53	1.8001	climate	cell.ema_initialized	1	1	1.000000	0.000000
3	53	1.8001	climate	cell.temp_season_offset	-0.200000	0.300000	-0.014184	0.121938
3	53	1.8001	climate	world.sea_ice_fraction_buffer_hash	2498081940	2498081940	2498081940.000000	0
4	53	1.8682	weather	cell.temp	0.000000	0.950462	0.401162	0.273315
4	53	1.8682	weather	cell.temp_baseline	0.000000	0.962319	0.397713	0.300564
4	53	1.8682	weather	cell.temp_30d	0.000000	0.988368	0.409927	0.277271
4	53	1.8682	weather	cell.temp_365d	0.000000	0.988368	0.409927	0.277271
4	53	1.8682	weather	cell.temp_anomaly	0.000000	0.000000	0.000000	0.000000
4	53	1.8682	weather	cell.moisture	0.190592	1.000000	0.585905	0.199208
4	53	1.8682	weather	cell.snow_cover	0.000000	0.850000	0.017417	0.109010
4	53	1.8682	weather	cell.sea_ice_frac	0.000000	1.000000	0.051554	0.183264
4	53	1.8682	weather	cell.weather_intensity	0.000000	1.000000	0.085241	0.217824
4	53	1.8682	weather	cell.weather_cloud	0.000000	0.915290	0.325478	0.176826
4	53	1.8682	weather	cell.weather_precip	0.000000	1.000000	0.233656	0.179034
4	53	1.8682	weather	cell.elevation	0.000000	0.910126	0.403302	0.230933
4	53	1.8682	weather	cell.base_moisture	0.197823	1.000000	0.602835	0.192195
4	53	1.8682	weather	cell.ocean_current_x	-1.000000	0.868328	0.013758	0.265456
4	53	1.8682	weather	cell.ocean_current_y	-1.000000	0.734991	0.004608	0.132000
4	53	1.8682	weather	cell.wind_x	-1.000000	0.999996	-0.557468	0.469981
4	53	1.8682	weather	cell.wind_y	-0.999522	1.000000	0.486155	0.481664
4	53	1.8682	weather	cell.slp	-0.463589	1.058657	0.030638	0.356224
4	53	1.8682	weather	cell.wind_speed	0.167134	0.650000	0.555795	0.139134
4	53	1.8682	weather	cell.upwelling_strength	-0.889996	0.000000	-0.292849	0.270721
4	53	1.8682	weather	cell.pos_x	0.000000	103.057022	51.528511	29.998958
4	53	1.8682	weather	cell.pos_y	0.000000	58.500000	29.250000	17.315095
4	53	1.8682	weather	cell.lat_norm	0.000000	1.000000	0.500000	0.295985
4	53	1.8682	weather	cell.temp_baseline_year	0.000000	0.999027	0.585557	0.332821
4	53	1.8682	weather	cell.terrain	0	25	4.855833	6.420090
4	53	1.8682	weather	cell.landform	0	10	2.799583	2.641070
4	53	1.8682	weather	cell.vegetation	0	23	3.764583	6.394854
4	53	1.8682	weather	cell.base_terrain	0	25	4.855833	6.420090
4	53	1.8682	weather	cell.base_landform	0	12	2.816250	2.682968
4	53	1.8682	weather	cell.base_vegetation	0	23	3.797917	6.437293
4	53	1.8682	weather	cell.cover	0	5	0.393333	1.146860
4	53	1.8682	weather	cell.weather_type	0	7	0.536250	1.467828
4	53	1.8682	weather	cell.is_water	0	1	0.769583	0.421100
4	53	1.8682	weather	cell.climate_dirty_mask	0	0	0.000000	0.000000
4	53	1.8682	weather	cell.weather_dirty_mask	0	0	0.000000	0.000000
4	53	1.8682	weather	cell.weather_vapor	0.264255	1.000000	0.687805	0.126278
4	53	1.8682	weather	cell.weather_convergence	0.000000	0.901404	0.318855	0.122910
4	53	1.8682	weather	cell.weather_instability	0.000000	1.000000	0.571458	0.299842
4	53	1.8682	weather	cell.weather_field_init	1	1	1.000000	0.000000
4	53	1.8682	weather	cell.air_mass_temp_anomaly	-0.051495	0.105000	0.002000	0.026712
4	53	1.8682	weather	cell.has_river	0	1	0.064167	0.245050
4	53	1.8682	weather	cell.ema_initialized	1	1	1.000000	0.000000
4	53	1.8682	weather	cell.temp_season_offset	-0.200000	0.300000	-0.014184	0.121938
4	53	1.8682	weather	world.sea_ice_fraction_buffer_hash	2498081940	2498081940	2498081940.000000	0
4	54	1.8682	climate	cell.temp	0.000000	0.950462	0.401162	0.273315
4	54	1.8682	climate	cell.temp_baseline	0.000000	0.962319	0.397713	0.300564
4	54	1.8682	climate	cell.temp_30d	0.000000	0.988368	0.409927	0.277271
4	54	1.8682	climate	cell.temp_365d	0.000000	0.988368	0.409927	0.277271
4	54	1.8682	climate	cell.temp_anomaly	0.000000	0.000000	0.000000	0.000000
4	54	1.8682	climate	cell.moisture	0.193339	1.000000	0.589132	0.200705
4	54	1.8682	climate	cell.snow_cover	0.000000	0.850000	0.017417	0.109010
4	54	1.8682	climate	cell.sea_ice_frac	0.000000	1.000000	0.051554	0.183264
4	54	1.8682	climate	cell.weather_intensity	0.000000	1.000000	0.085241	0.217824
4	54	1.8682	climate	cell.weather_cloud	0.000000	0.915290	0.325478	0.176826
4	54	1.8682	climate	cell.weather_precip	0.000000	1.000000	0.233656	0.179034
4	54	1.8682	climate	cell.elevation	0.000000	0.910126	0.403302	0.230933
4	54	1.8682	climate	cell.base_moisture	0.197823	1.000000	0.602835	0.192195
4	54	1.8682	climate	cell.ocean_current_x	-1.000000	0.868328	0.013758	0.265456
4	54	1.8682	climate	cell.ocean_current_y	-1.000000	0.734991	0.004608	0.132000
4	54	1.8682	climate	cell.wind_x	-1.000000	0.999996	-0.557468	0.469981
4	54	1.8682	climate	cell.wind_y	-0.999522	1.000000	0.486155	0.481664
4	54	1.8682	climate	cell.slp	-0.463589	1.058657	0.030638	0.356224
4	54	1.8682	climate	cell.wind_speed	0.167134	0.650000	0.555795	0.139134
4	54	1.8682	climate	cell.upwelling_strength	-0.889996	0.000000	-0.292849	0.270721
4	54	1.8682	climate	cell.pos_x	0.000000	103.057022	51.528511	29.998958
4	54	1.8682	climate	cell.pos_y	0.000000	58.500000	29.250000	17.315095
4	54	1.8682	climate	cell.lat_norm	0.000000	1.000000	0.500000	0.295985
4	54	1.8682	climate	cell.temp_baseline_year	0.000000	0.999027	0.585557	0.332821
4	54	1.8682	climate	cell.terrain	0	25	4.855833	6.420090
4	54	1.8682	climate	cell.landform	0	10	2.799583	2.641070
4	54	1.8682	climate	cell.vegetation	0	23	3.764583	6.394854
4	54	1.8682	climate	cell.base_terrain	0	25	4.855833	6.420090
4	54	1.8682	climate	cell.base_landform	0	12	2.816250	2.682968
4	54	1.8682	climate	cell.base_vegetation	0	23	3.797917	6.437293
4	54	1.8682	climate	cell.cover	0	5	0.393333	1.146860
4	54	1.8682	climate	cell.weather_type	0	7	0.536250	1.467828
4	54	1.8682	climate	cell.is_water	0	1	0.769583	0.421100
4	54	1.8682	climate	cell.climate_dirty_mask	0	0	0.000000	0.000000
4	54	1.8682	climate	cell.weather_dirty_mask	0	0	0.000000	0.000000
4	54	1.8682	climate	cell.weather_vapor	0.264255	1.000000	0.687805	0.126278
4	54	1.8682	climate	cell.weather_convergence	0.000000	0.901404	0.318855	0.122910
4	54	1.8682	climate	cell.weather_instability	0.000000	1.000000	0.571458	0.299842
4	54	1.8682	climate	cell.weather_field_init	1	1	1.000000	0.000000
4	54	1.8682	climate	cell.air_mass_temp_anomaly	-0.051495	0.105000	0.002000	0.026712
4	54	1.8682	climate	cell.has_river	0	1	0.064167	0.245050
4	54	1.8682	climate	cell.ema_initialized	1	1	1.000000	0.000000
4	54	1.8682	climate	cell.temp_season_offset	-0.200000	0.300000	-0.014184	0.121938
4	54	1.8682	climate	world.sea_ice_fraction_buffer_hash	2498081940	2498081940	2498081940.000000	0
5	55	1.9365	climate	cell.temp	0.000000	0.950462	0.406135	0.270365
5	55	1.9365	climate	cell.temp_baseline	0.000000	0.962319	0.397713	0.300564
5	55	1.9365	climate	cell.temp_30d	0.000000	0.988368	0.409927	0.277271
5	55	1.9365	climate	cell.temp_365d	0.000000	0.988368	0.409927	0.277271
5	55	1.9365	climate	cell.temp_anomaly	0.000000	0.000000	0.000000	0.000000
5	55	1.9365	climate	cell.moisture	0.189477	1.000000	0.577821	0.190789
5	55	1.9365	climate	cell.snow_cover	0.000000	0.850000	0.017417	0.109010
5	55	1.9365	climate	cell.sea_ice_frac	0.000000	1.000000	0.052593	0.186903
5	55	1.9365	climate	cell.weather_intensity	0.000000	1.000000	0.085241	0.217824
5	55	1.9365	climate	cell.weather_cloud	0.000000	0.915290	0.325478	0.176826
5	55	1.9365	climate	cell.weather_precip	0.000000	1.000000	0.233656	0.179034
5	55	1.9365	climate	cell.elevation	0.000000	0.910126	0.403302	0.230933
5	55	1.9365	climate	cell.base_moisture	0.197823	1.000000	0.602835	0.192195
5	55	1.9365	climate	cell.ocean_current_x	-1.000000	0.868328	0.013758	0.265456
5	55	1.9365	climate	cell.ocean_current_y	-1.000000	0.734991	0.004608	0.132000
5	55	1.9365	climate	cell.wind_x	-1.000000	0.999996	-0.557468	0.469981
5	55	1.9365	climate	cell.wind_y	-0.999522	1.000000	0.486155	0.481664
5	55	1.9365	climate	cell.slp	-0.463589	1.058657	0.030638	0.356224
5	55	1.9365	climate	cell.wind_speed	0.167134	0.650000	0.555795	0.139134
5	55	1.9365	climate	cell.upwelling_strength	-0.889996	0.000000	-0.292849	0.270721
5	55	1.9365	climate	cell.pos_x	0.000000	103.057022	51.528511	29.998958
5	55	1.9365	climate	cell.pos_y	0.000000	58.500000	29.250000	17.315095
5	55	1.9365	climate	cell.lat_norm	0.000000	1.000000	0.500000	0.295985
