row_idx,tick_idx,timestamp_ms,was_skipped_day,fps,speed_multiplier,fast_ms,t_sus_ms,t_render_ms,t_ui_ms,largest_slice_job,largest_slice_stage,largest_slice_substage,largest_slice_path,largest_slice_ms,largest_slice_work_done,largest_slice_processed_cells,largest_slice_processed_pixels,largest_slice_processed_indices,largest_slice_cursor_start,largest_slice_cursor_end,largest_slice_fallback_path,largest_slice_processed_per_ms,sus_sim_avg_300,sus_sim_p95_300,sus_sim_max_300,over_1ms_count_300,sim_frame_budget_ms,sim_slice_budget_ms,sim_upload_slice_budget_ms,sim_strict_budget_enabled,sim_budget_warn_ms,economy_reserved_budget_ms,country_ui_refresh_reason,country_ui_snapshot_ms,country_ui_cache_hit,country_ui_dirty_domains,country_ui_event_refresh_enabled,country_report_mode,country_state_hash_ms,country_report_build_ms,research_queue_size,research_full_scan_fallbacks,research_activation_ms,research_allocation_ms,research_effect_ack_ms,research_discovery_ms,research_modifier_ms,research_report_ms,research_countries_scanned,research_active_countries,research_pending_checks,research_discovery_checks,research_discovery_frontier_mismatches,research_modifier_queries,research_modifier_cache_hits,research_remainder_iterations,prepare_reuse_count,workset_cells_planned,workset_cells_executed,duplicate_range_count,household_market_prepare_ms,household_market_worker_ms,household_market_merge_ms,bio_slice_native_ms,bio_slice_publish_ms,bio_knob_cache_hit,bio_knob_cache_build_ms,bio_slice_fallback_reason,natural_resource_factor_lookup_ms,natural_resource_slot_refresh_ms,natural_resource_knob_update_ms,natural_resource_native_call_ms,natural_resource_fallback_ms,continuation_frames,continuation_slices,continuation_started_slices,continuation_completed_slices,continuation_budget_exhausted,continuation_budget_overrun_frames,continuation_max_budget_overrun_ms,continuation_blocked_by_stage,continuation_country_slices,continuation_economy_slices,continuation_wall_ms,continuation_max_frame_wall_ms,continuation_max_slice_ms,continuation_last_slice_ms,continuation_budget_ms,continuation_last_stage,continuation_last_next_stage,continuation_last_substage,continuation_last_path,continuation_done,continuation_stage_counts,continuation_stage_wall_ms,continuation_stage_max_slice_ms,continuation_substage_counts,continuation_substage_wall_ms,continuation_substage_max_slice_ms,continuation_substage_work,clock_pulse_ms,clock_loop_ms,clock_full_ms,tail_label_ms,tail_label_count,tail_vegetation_ms,tail_vegetation_inflight,tail_vegetation_dedup_skips,tail_vegetation_tasks,tail_vegetation_forced_tasks,tail_vegetation_max_task_ms,tail_vegetation_plan_ms,tail_vegetation_encode_ms,tail_vegetation_cache_update_ms,tail_vegetation_assemble_ms,tail_vegetation_upload_ms,tail_overlay_ms,tail_overlay_last_bake_ms,tail_overlay_interval_msec,tail_overlay_refresh_count,frame_wall_ms,engine_process_ms,engine_physics_ms,render_residual_ms,render_objects_in_frame,render_primitives_in_frame,render_draw_calls_in_frame,runtime_graph_pulse_count,runtime_graph_abi_calls,runtime_graph_gdscript_callbacks,runtime_graph_work_done,runtime_graph_budget_yields,runtime_graph_last_elapsed_us,runtime_graph_last_status,runtime_graph_dirty_mask,runtime_graph_post_pulse_flush_ms,runtime_graph_flush_slot_count,runtime_graph_visual_diff_cell_count,runtime_graph_country_territory_sync_ms,runtime_graph_event_dispatch_ms,runtime_graph_full_flush_count,runtime_graph_simulation_thread_mode,runtime_graph_requested_simulation_thread_mode,runtime_graph_coverage_state,runtime_graph_required_domain_mask,runtime_graph_implemented_domain_mask,runtime_graph_missing_domain_mask,runtime_graph_coverage_blocker,runtime_graph_simulation_worker_ready,runtime_graph_native_executor_workers,runtime_graph_native_executor_interactive,runtime_graph_native_executor_fault_count,runtime_graph_country_pod_active_index_count,runtime_graph_climate_pod_ready,runtime_graph_climate_pod_plan_ms,runtime_graph_climate_pod_replay_ms,runtime_graph_climate_pod_work_units,runtime_graph_climate_pod_changed_cells,runtime_graph_climate_pod_state_hash,runtime_graph_climate_pod_fallback_reason,runtime_graph_climate_trace_depth,runtime_graph_climate_trace_front_day,runtime_graph_climate_trace_lag_days,runtime_graph_climate_trace_latest_hash,runtime_graph_climate_trace_capacity_exceeded,runtime_graph_climate_trace_consumed,runtime_graph_climate_trace_missing,runtime_graph_climate_trace_reference_rejected,runtime_graph_climate_trace_reference_pending,runtime_graph_simulation_host_state,runtime_graph_simulation_committed_day,runtime_graph_simulation_generation,runtime_graph_simulation_time_debt_days,runtime_graph_last_visual_publish_at_us,runtime_graph_snapshot_staleness_ms,runtime_graph_ui_input_to_feedback_ms,runtime_graph_visual_apply_ms,runtime_graph_gpu_upload_ms,runtime_graph_main_wait_on_sim_us,runtime_graph_simulation_environment_generation,runtime_graph_simulation_environment_day,runtime_graph_simulation_environment_cell_count,runtime_graph_simulation_environment_topology_validated,runtime_graph_stale_environment_rejected,runtime_graph_command_queue_depth,runtime_graph_receipt_queue_depth,runtime_graph_snapshot_publish_drop_count,runtime_graph_snapshot_publish_throttled_count,runtime_graph_worker_fault_count,runtime_graph_day_stage_count,runtime_graph_day_completed_stage_count,runtime_graph_day_work_units,runtime_graph_completed_days,runtime_graph_pod_completed_domain_mask,runtime_graph_pod_completed_stage_count,runtime_graph_pod_work_units,runtime_graph_pod_intent_count,runtime_graph_pod_fallback_count,runtime_graph_domain_authority_planned_mask,runtime_graph_domain_authority_committed_mask,runtime_graph_domain_authority_ack_count,runtime_graph_domain_authority_input_hash,runtime_graph_domain_authority_state_hash,runtime_graph_domain_authority_plan_ms,runtime_graph_domain_authority_replay_ms,runtime_graph_domain_authority_fallback_reason,runtime_graph_domain_stage_fallback_count,runtime_graph_domain_stage_fallback_reason,runtime_graph_climate_production_stage_mask,runtime_graph_climate_worker_stage_mask,runtime_graph_climate_pod_parity_compared,runtime_graph_climate_pod_parity_matched,runtime_graph_climate_pod_parity_mismatch_count,runtime_graph_climate_pod_parity_reason,runtime_graph_climate_pod_reference_hash,runtime_graph_climate_parity_day,runtime_graph_climate_parity_stage,runtime_graph_climate_parity_cell,runtime_graph_climate_parity_field,runtime_graph_climate_parity_reference_bits,runtime_graph_climate_parity_worker_bits,runtime_graph_climate_trace_captured,runtime_graph_climate_trace_reference_ready,runtime_graph_climate_trace_consumable,runtime_graph_fault_code,runtime_graph_simulation_invalid_environment_rejected,runtime_graph_country_pod_snapshot_generation,runtime_graph_country_pod_state_hash,runtime_graph_country_pod_work_units,runtime_graph_country_pod_active_country_count,runtime_graph_country_pod_pending_checks,runtime_graph_country_pod_ack_pending,runtime_graph_country_pod_blocker
0,1,21321,false,13,50,9.575,8.81,0.011,0.251,native_daily_sim,climate_pass_a,climate_pass_a_struct,gdext_native_daily_slice,2.379,1,0,0,1,-1,-1,,0.420345,3.969,3.969,3.969,1,8,3,1.5,false,2,8.666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,false,0,0,,0,0,0,0,0,0,0,,,,,false,{},{},{},{},{},{},{},0.001,0.001,0.242,0,0,0.055,1,0,0,0,0,0.036,0,0,0,0,0,0,100,0,0,9557.394,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OFF,ACTIVE,,4095,4095,0,runtime_graph_not_ready,false,16,false,0,0,false,0,0,0,0,0,,,,,,0,,,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2400,true,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,false,
1,2,21344,false,1,50,12.701,11.773,0.015,0.286,dynamic_visual_atlas_upload,,,cell_indirection_lut,1.217,2400,2400,0,0,-1,-1,,1972.062436,3.0395,3.969,3.969,2,8,3,1.5,false,2,8.666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,64,64,59,false,0,0,,58,0,7.521,7.521,0.795,0.066,8,country_owned_by_runtime_graph,,,native_runtime_graph,true,"{""country:country_owned_by_runtime_graph"":58,""native_daily:climate_pass_b"":1,""native_daily:native_daily_complete"":1,""native_daily:native_daily_finalizer"":1,""native_daily:ocean_land"":1,""native_daily:sea_ice"":1,""native_daily:wind_surface"":1}","{""country:country_owned_by_runtime_graph"":3.777,""native_daily:climate_pass_b"":0.508,""native_daily:native_daily_complete"":0.279,""native_daily:native_daily_finalizer"":0.397,""native_daily:ocean_land"":0.795,""native_daily:sea_ice"":0.507,""native_daily:wind_surface"":0.601}","{""country:country_owned_by_runtime_graph"":0.099,""native_daily:climate_pass_b"":0.508,""native_daily:native_daily_complete"":0.279,""native_daily:native_daily_finalizer"":0.397,""native_daily:ocean_land"":0.795,""native_daily:sea_ice"":0.507,""native_daily:wind_surface"":0.601}",{},{},{},{},7.555,10.159,10.38,0,0,0.257,1,0,4,0,0.087,0,0,0,0,0,0,0,100,0,22.953,696.215,0.016,12.316,0,0,0,1,1,0,65,0,1224,3,0,0,1,2400,0.023,0.025,0,OFF,ACTIVE,,4095,4095,0,runtime_graph_not_ready,false,16,false,0,0,true,2.081,0.0012,19200,2237,0,,,,,,0,,,0,0,2,0,0,0,0,0,0,0,0,0,2,1,2400,true,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,false,
2,3,21382,false,1,50,2.911,0,2.68,0,dynamic_visual_atlas_upload,,,cell_indirection_lut,1.217,2400,2400,0,0,-1,-1,,1972.062436,3.0395,3.969,3.969,2,8,3,1.5,false,2,8.666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,false,0,0,,0,0,0,0,0,0,0,,,,,false,{},{},{},{},{},{},{},0,4.099,4.289,0,0,0.019,0,0,0,0,0,0.003,0,0,0,0,0,0,100,0,6.324833,23.161,0.017,2.016833,0,0,0,6,6,0,321,0,21,2,0,0,1,2400,0.023,0.025,0,ACTIVE,ACTIVE,,4095,4095,0,,true,16,false,0,0,true,3.7833,0.0018,28800,2400,0,,,,,,0,,,0,0,2,1,1,0,774032559478,8.57,0,0,0,0,3,2,2400,true,0,0,0,0,0,0,12,12,19224,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,false,
3,4,21406,false,1,50,1.474,0,1.291,0,dynamic_visual_atlas_upload,,,cell_indirection_lut,1.217,2400,2400,0,0,-1,-1,,1972.062436,3.0395,3.969,3.969,2,8,3,1.5,false,2,8.666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,false,0,0,,0,0,0,0,0,0,0,,,,,false,{},{},{},{},{},{},{},0,0,0.176,0,0,0.02,0,0,0,0,0,0.004,0,0,0,0,0,0,100,0,6.063,23.161,0.017,5.867,0,0,0,6,6,0,321,0,21,2,0,0,1,2400,0.023,0.025,0,ACTIVE,ACTIVE,,4095,4095,0,,true,16,false,0,0,true,1.9963,0.0016,19200,2237,0,,,,,,0,,,0,0,2,2,2,0,774032590086,2.198,0,0.035,0,0,4,3,2400,true,0,0,0,0,0,0,12,12,28824,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,false,
4,5,21435,false,1,50,1.419,0,1.272,0,dynamic_visual_atlas_upload,,,cell_indirection_lut,1.217,2400,2400,0,0,-1,-1,,1972.062436,3.0395,3.969,3.969,2,8,3,1.5,false,2,8.666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,false,0,0,,0,0,0,0,0,0,0,,,,,false,{},{},{},{},{},{},{},0,3.638,3.826,0,0,0.022,0,0,0,0,0,0.004,0,0,0,0,0,0,100,0,7.30725,23.161,0.017,3.45925,0,0,0,6,6,0,321,0,21,2,0,0,1,2400,0.023,0.025,0,ACTIVE,ACTIVE,,4095,4095,0,,true,16,false,0,0,true,3.0102,0.0024,60000,2400,0,,,,,,0,,,0,0,2,3,3,0,774032614707,6.826,0,0.029,0,0,6,5,2400,true,0,0,0,0,0,0,12,12,19224,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,false,
5,6,21460,false,1,50,1.47,0,1.259,0,dynamic_visual_atlas_upload,,,cell_indirection_lut,1.217,2400,2400,0,0,-1,-1,,1972.062436,3.0395,3.969,3.969,2,8,3,1.5,false,2,8.666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,false,0,0,,0,0,0,0,0,0,0,,,,,false,{},{},{},{},{},{},{},0,0,0.273,0,0,0.02,0,0,0,0,0,0.003,0,0,0,0,0,0,100,0,6.113,23.161,0.017,5.82,0,0,0,6,6,0,321,0,21,2,0,0,1,2400,0.023,0.025,0,ACTIVE,ACTIVE,,4095,4095,0,,true,16,false,0,0,true,1.9435,0.0013,19200,2237,0,,,,,,0,,,0,0,2,4,4,0,774032641888,4.113,0,0.04,0,0,7,6,2400,true,0,0,0,0,0,0,12,12,60024,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,false,
6,7,21488,false,1,50,1.481,0,1.266,0,dynamic_visual_atlas_upload,,,cell_indirection_lut,1.217,2400,2400,0,0,-1,-1,,1972.062436,3.0395,3.969,3.969,2,8,3,1.5,false,2,8.666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,false,0,0,,0,0,0,0,0,0,0,,,,,false,{},{},{},{},{},{},{},0,0,0.326,0,0,0.028,0,0,0,0,0,0.004,0,0,0,0,0,0,100,0,6.93325,23.161,0.017,6.57925,0,0,0,6,6,0,321,0,21,2,0,0,1,2400,0.023,0.025,0,ACTIVE,ACTIVE,,4095,4095,0,,true,16,false,0,0,true,2.488,0.0017,21600,2237,0,,,,,,0,,,0,0,2,5,5,0,774032667481,6.24,0,0.029,0,0,8,7,2400,true,0,0,0,0,0,0,12,12,19224,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,false,
7,8,21518,false,1,50,1.427,0,1.278,0,dynamic_visual_atlas_upload,,,cell_indirection_lut,1.217,2400,2400,0,0,-1,-1,,1972.062436,3.0395,3.969,3.969,2,8,3,1.5,false,2,8.666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,false,0,0,,0,0,0,0,0,0,0,,,,,false,{},{},{},{},{},{},{},0,3.486,3.677,0,0,0.02,0,0,0,0,0,0.004,0,0,0,0,0,0,100,0,7.55875,23.161,0.017,3.86175,0,0,0,6,6,0,321,0,21,2,0,0,1,2400,0.023,0.025,0,ACTIVE,ACTIVE,,4095,4095,0,,true,16,false,0,0,true,2.216,0.0012,19200,2237,0,,,,,,0,,,0,0,2,6,6,0,774032692462,11.5,0,0.028,0,0,10,9,2400,true,0,0,0,0,0,0,12,12,21624,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,false,
8,9,21538,false,1,50,1.404,0,1.251,0,dynamic_visual_atlas_upload,,,cell_indirection_lut,1.217,2400,2400,0,0,-1,-1,,1972.062436,3.0395,3.969,3.969,2,8,3,1.5,false,2,8.666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,false,0,0,,0,0,0,0,0,0,0,,,,,false,{},{},{},{},{},{},{},0,3.346,3.514,0,0,0.018,0,0,0,0,0,0.002,0,0,0,0,0,0,100,0,6.818333,23.161,0.017,3.286333,0,0,0,6,6,0,321,0,21,2,0,0,1,2400,0.023,0.025,0,ACTIVE,ACTIVE,,4095,4095,0,,true,16,false,0,0,true,1.9495,0.0012,19200,2237,0,,,,,,0,,,0,0,2,7,7,0,774032717034,7.359,0,0.028,0,0,11,10,2400,true,0,0,0,0,0,0,12,12,19224,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,false,
9,10,21563,false,1,50,1.575,0,1.366,0,dynamic_visual_atlas_upload,,,cell_indirection_lut,1.217,2400,2400,0,0,-1,-1,,1972.062436,3.0395,3.969,3.969,2,8,3,1.5,false,2,8.666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,false,0,0,,0,0,0,0,0,0,0,,,,,false,{},{},{},{},{},{},{},0,0.001,0.24,0,0,0.02,0,0,0,0,0,0.004,0,0,0,0,0,0,100,0,6.21125,23.161,0.017,5.95125,0,0,0,6,6,0,321,0,21,2,0,0,1,2400,0.023,0.025,0,ACTIVE,ACTIVE,,4095,4095,0,,true,16,false,0,0,true,1.9469,0.0012,19200,2237,0,,,,,,0,,,0,0,2,8,8,0,774032741542,7.703,0,0.028,0,0,12,11,2400,true,0,0,0,0,0,0,12,12,19224,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,false,
