field,samples,different_samples,max_abs_diff,mean_abs_diff,p95_abs_diff,p95_method,policy_declared,policy_exceeded,best_lag,best_lag_mean_abs_diff,first_tick,first_cell
temp_arr,240000,204149,0.2560070000000001,0.025862229062499784,0.12044700000000003,deterministic_reservoir_50000,False,True,1,0.025844420202019533,121,60
temp_arr_prev,240000,204250,0.25461900000000004,0.026027676274999263,0.12149999999999994,deterministic_reservoir_50000,False,True,2,0.025992927721087085,121,60
moisture_arr,240000,42106,0.990441,0.02140140235833355,0.147899,deterministic_reservoir_50000,False,True,1,0.02113330086700363,121,467
moisture_arr_prev,240000,42188,0.990441,0.021727239241666797,0.14741199999999996,deterministic_reservoir_50000,False,True,2,0.021192065255102335,121,467
snow_cover_arr,240000,3372,1.0,0.0038486370416665897,0.0,deterministic_reservoir_50000,False,True,2,0.0037329672534013245,121,1941
snow_cover_arr_prev,240000,3498,1.0,0.003900509674999917,0.0,deterministic_reservoir_50000,False,True,2,0.0037271057057822726,121,1941
temp_baseline_arr,240000,211432,0.04066900000000001,0.003487650074999455,0.017591999999999997,deterministic_reservoir_50000,False,True,-2,0.0020373274744899363,121,60
temp_30d_arr,240000,227989,0.059365,0.00840833903750048,0.028256999999999977,deterministic_reservoir_50000,False,True,-2,0.005802822857143704,121,60
temp_365d_arr,240000,227914,0.005259999999999987,0.0016154875541666712,0.0036449999999999816,deterministic_reservoir_50000,False,True,-2,0.001238740259353667,121,60
temp_anomaly_arr,240000,227994,0.263251,0.06395500210833953,0.176205,deterministic_reservoir_50000,False,True,-2,0.06329449869048208,121,60
sea_ice_frac_arr,240000,29459,0.965257,0.007111624945833509,0.01681900000000003,deterministic_reservoir_50000,False,True,-2,0.0060130281675169804,121,0
sea_ice_frac_arr_prev,240000,29620,0.965257,0.006982852016666811,0.01681900000000003,deterministic_reservoir_50000,False,True,-2,0.005890540119047341,121,0
weather_intensity_arr,240000,99636,0.880188,0.051751019362500664,0.179732,deterministic_reservoir_50000,False,True,-2,0.05166759425595318,121,110
weather_cloud_arr,240000,239992,0.35572400000000004,0.046622104804167556,0.162134,deterministic_reservoir_50000,False,True,-2,0.046535760922620024,121,0
weather_cloud_water_arr,240000,239940,0.171961,0.02177761672916742,0.061222000000000006,deterministic_reservoir_50000,False,True,-2,0.021702479851191267,121,0
weather_precip_arr,240000,94238,0.161105,0.019317937620833205,0.083209,deterministic_reservoir_50000,False,True,-2,0.01930204616921747,121,110
weather_transition_alpha_arr,240000,0,0.0,0.0,0.0,deterministic_reservoir_50000,False,False,-2,0.0,,
weather_classification_temp_arr,240000,204250,0.25461900000000004,0.026027676274999263,0.12090200000000001,deterministic_reservoir_50000,False,True,2,0.025992927721087085,121,60
weather_classification_moisture_arr,240000,42188,0.990441,0.021727239241666797,0.15007099999999995,deterministic_reservoir_50000,False,True,2,0.021192065255102335,121,467
weather_vapor_arr,240000,239995,0.43803000000000003,0.08332917417916529,0.223076,deterministic_reservoir_50000,False,True,2,0.08332832588010101,121,0
weather_convergence_arr,240000,236917,1.0,0.3739067206624994,0.61169,deterministic_reservoir_50000,False,True,0,0.3739067206624994,121,0
weather_instability_arr,240000,209855,0.8643810000000001,0.163411914600001,0.411856,deterministic_reservoir_50000,False,True,0,0.163411914600001,121,101
weather_field_init_arr,240000,240000,1.0,1.0,1.0,deterministic_reservoir_50000,False,True,-2,1.0,121,0
air_mass_temp_anomaly_arr,240000,236811,0.109712,0.04454360034583316,0.09349700000000001,deterministic_reservoir_50000,False,True,-2,0.0443177463222787,121,0
ocean_thermal_anomaly_arr,240000,176981,0.160001,0.03426545403749393,0.09739300000000001,deterministic_reservoir_50000,False,True,-1,0.034155411565650384,121,65
local_thermal_anomaly_arr,240000,95400,0.113754,0.0054542448541671455,0.035695,deterministic_reservoir_50000,False,True,-1,0.005443911119529124,121,0
has_river_arr,240000,0,0.0,0.0,0.0,deterministic_reservoir_50000,False,False,-2,0.0,,
river_flow_arr,240000,0,0.0,0.0,0.0,deterministic_reservoir_50000,False,False,-2,0.0,,
river_downstream_arr,240000,0,0.0,0.0,0.0,deterministic_reservoir_50000,False,False,-2,0.0,,
hydro_parent_arr,240000,0,0.0,0.0,0.0,deterministic_reservoir_50000,False,False,-2,0.0,,
river_discharge_arr,240000,143679,312.188599,3.789217086183497,11.159424,deterministic_reservoir_50000,False,True,2,3.751546529030736,121,0
river_discharge_30d_arr,240000,166210,0.99998,0.10493368480833354,0.503777,deterministic_reservoir_50000,False,True,2,0.10487241812925147,121,0
river_storage_arr,240000,136407,48.997284,0.14725622651251713,0.285229,deterministic_reservoir_50000,False,True,2,0.14518637230868797,121,0
groundwater_storage_arr,240000,53845,0.654488,0.031517729366666206,0.22414,deterministic_reservoir_50000,False,True,2,0.031192126828230884,121,467
surface_runoff_arr,240000,82537,2.300172,0.13535505250000227,0.826907,deterministic_reservoir_50000,False,True,2,0.13431627710034297,121,427
ema_initialized_arr,240000,0,0.0,0.0,0.0,deterministic_reservoir_50000,False,False,-2,0.0,,
temp_season_offset_arr,240000,83455,0.00740200000000002,0.000323085620833322,0.0014939999999999988,deterministic_reservoir_50000,False,True,-1,0.00029883239057238283,121,60
insolation_now_arr,240000,57360,0.018986999999999976,0.0008286240000001366,0.005108999999999975,deterministic_reservoir_50000,False,True,-1,0.0007952287878787417,121,60
insolation_dev_arr,240000,57360,0.018986999999999976,0.0008286287500001152,0.005086000000000035,deterministic_reservoir_50000,False,True,-1,0.0007952244949494796,121,60
